COG_ID	COG_Category_ID	Annotation	Gene	Pathway
COG0051	J	Ribosomal protein S10	RpsJ	Ribosome 30S subunit
COG0052	J	Ribosomal protein S2	RpsB	Ribosome 30S subunit
COG0053	P	Divalent metal cation (Fe/Co/Zn/Cd) efflux pump	FieF	
COG0054	H	"6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)"	RibE	Riboflavin/FAD biosynthesis
COG0055	C	"FoF1-type ATP synthase, beta subunit"	AtpD	FoF1-type ATP synthase
COG0056	C	"FoF1-type ATP synthase, alpha subunit"	AtpA	FoF1-type ATP synthase
COG0057	G	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	GapA	Glycolysis
COG0058	G	Glucan phosphorylase	GlgP	
COG0059	EH	Ketol-acid reductoisomerase	IlvC	"Isoleucine, leucine, valine biosynthesis"
COG0060	J	Isoleucyl-tRNA synthetase	IleS	Aminoacyl-tRNA synthetases
COG0061	H	NAD kinase	NadK	
COG0062	F	"NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain"	Nnr1	
COG0063	F	"NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain"	Nnr2	
COG0064	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	GatB	Aminoacyl-tRNA synthetases
COG0065	E	Homoaconitase/3-isopropylmalate dehydratase large subunit	LeuC	"Isoleucine, leucine, valine biosynthesis"
COG0066	E	3-isopropylmalate dehydratase small subunit	LeuD	"Isoleucine, leucine, valine biosynthesis"
COG0067	E	Glutamate synthase domain 1	GltB1	Glutamine biosynthesis
COG0068	O	Hydrogenase maturation factor HypF (carbamoyltransferase)	HypF	
COG0069	E	Glutamate synthase domain 2	GltB2	Glutamine biosynthesis
COG0070	E	Glutamate synthase domain 3	GltB3	Glutamine biosynthesis
COG0071	O	"Small heat shock protein IbpA, HSP20 family"	IbpA	
COG0072	J	Phenylalanyl-tRNA synthetase beta subunit	PheT	Aminoacyl-tRNA synthetases
COG0073	J	tRNA-binding EMAP/Myf domain	EMAP	
COG0074	C	"Succinyl-CoA synthetase, alpha subunit"	SucD	TCA cycle
COG0075	EF	"Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG"	PucG	Serine biosynthesis
COG0076	E	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein	GadA	Pantothenate/CoA biosynthesis
COG0077	E	Prephenate dehydratase	PheA2	Aromatic amino acid biosynthesis
COG0078	E	Ornithine carbamoyltransferase	ArgF	Arginine biosynthesis
COG0079	E	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	HisC	Cobalamine/B12 biosynthesis
COG0080	J	Ribosomal protein L11	RplK	Ribosome 50S subunit
COG0081	J	Ribosomal protein L1	RplA	Ribosome 50S subunit
COG0082	E	Chorismate synthase	AroC	Aromatic amino acid biosynthesis
COG0083	E	Homoserine kinase	ThrB	Threonine biosynthesis
COG0084	N	3'->5' ssDNA/RNA exonuclease TatD	TatD	
COG0085	K	"DNA-directed RNA polymerase, beta subunit/140 kD subunit"	RpoB	RNA polymerase
COG0086	K	"DNA-directed RNA polymerase, beta' subunit/160 kD subunit"	RpoC	RNA polymerase
COG0087	J	Ribosomal protein L3	RplC	Ribosome 50S subunit
COG0088	J	Ribosomal protein L4	RplD	Ribosome 50S subunit
COG0089	J	Ribosomal protein L23	RplW	Ribosome 50S subunit
COG0090	J	Ribosomal protein L2	RplB	Ribosome 50S subunit
COG0091	J	Ribosomal protein L22	RplV	Ribosome 50S subunit
COG0092	J	Ribosomal protein S3	RpsC	Ribosome 30S subunit
COG0093	J	Ribosomal protein L14	RplN	Ribosome 50S subunit
COG0094	J	Ribosomal protein L5	RplE	Ribosome 50S subunit
COG0095	H	Lipoate-protein ligase A	LplA	Lipoate biosynthesis
COG0096	J	Ribosomal protein S8	RpsH	Ribosome 30S subunit
COG0097	J	Ribosomal protein L6P/L9E	RplF	Ribosome 50S subunit
COG0098	J	Ribosomal protein S5	RpsE	Ribosome 30S subunit
COG0099	J	Ribosomal protein S13	RpsM	Ribosome 30S subunit
COG0100	J	Ribosomal protein S11	RpsK	Ribosome 30S subunit
COG0101	J	"tRNA U38,U39,U40 pseudouridine synthase TruA"	TruA	tRNA modification
COG0102	J	Ribosomal protein L13	RplM	Ribosome 50S subunit
COG0103	J	Ribosomal protein S9	RpsI	Ribosome 30S subunit
COG0104	F	Adenylosuccinate synthase	PurA	Purine biosynthesis
COG0105	F	Nucleoside diphosphate kinase	Ndk	Pyrimidine biosynthesis
COG0106	E	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	HisA	Histidine biosynthesis
COG0107	E	Imidazole glycerol phosphate synthase subunit HisF	HisF	Histidine biosynthesis
COG0108	H	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	RibB	Riboflavin/FAD biosynthesis
COG0109	HI	Polyprenyltransferase (heme O synthase)	CyoE	
COG0110	R	"Acetyltransferase, isoleucine patch superfamily"	WbbJ	
COG0111	H	Phosphoglycerate dehydrogenase or related dehydrogenase	SerA	Serine biosynthesis
COG0112	E	Glycine/serine hydroxymethyltransferase	GlyA	Serine biosynthesis
COG0113	H	"Delta-aminolevulinic acid dehydratase, porphobilinogen synthase"	HemB	Heme biosynthesis
COG0114	C	Fumarate hydratase class II	FumC	TCA cycle
COG0115	EH	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	IlvE	"Isoleucine, leucine, valine biosynthesis"
COG0116	J	23S rRNA G2445 N2-methylase RlmL	RlmL	23S rRNA modification
COG0117	H	"Riboflavin biosynthesis protein RibD, pyrimidine deaminase domain"	RibD1	Riboflavin/FAD biosynthesis
COG0118	E	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH	HisH	Histidine biosynthesis
COG0119	E	Isopropylmalate/homocitrate/citramalate synthases	LeuA	"Isoleucine, leucine, valine biosynthesis"
COG0120	G	Ribose 5-phosphate isomerase	RpiA	Pentose phosphate pathway
COG0121	R	Predicted glutamine amidotransferase YafJ	YafJ	
COG0122	L	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	AlkA	
COG0123	Q	Acetoin utilization deacetylase AcuC or a related deacetylase	AcuC	
COG0124	J	Histidyl-tRNA synthetase	HisS	Aminoacyl-tRNA synthetases
COG0125	F	Thymidylate kinase	Tmk	Thymidylate biosynthesis
COG0126	G	3-phosphoglycerate kinase	Pgk	Glycolysis
COG0127	F	"Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family"	RdgB	
COG0128	E	5-enolpyruvylshikimate-3-phosphate synthase	AroA	Aromatic amino acid biosynthesis
COG0129	EG	Dihydroxyacid dehydratase/phosphogluconate dehydratase	IlvD	"Isoleucine, leucine, valine biosynthesis"
COG0130	J	"tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA"	TruB	tRNA modification
COG0131	E	Imidazoleglycerol phosphate dehydratase HisB	HisB2	Histidine biosynthesis
COG0132	H	Dethiobiotin synthetase	BioD	Biotin biosynthesis
COG0133	E	Tryptophan synthase beta chain	TrpB	Aromatic amino acid biosynthesis
COG0134	E	Indole-3-glycerol phosphate synthase	TrpC	Aromatic amino acid biosynthesis
COG0135	E	Phosphoribosylanthranilate isomerase	TrpF	Aromatic amino acid biosynthesis
COG0136	E	Aspartate-semialdehyde dehydrogenase	Asd	Lysine biosynthesis
COG0137	E	Argininosuccinate synthase	ArgG	Arginine biosynthesis
COG0138	F	AICAR transformylase/IMP cyclohydrolase PurH	PurH	Purine biosynthesis
COG0139	E	Phosphoribosyl-AMP cyclohydrolase	HisI1	Histidine biosynthesis
COG0140	E	Phosphoribosyl-ATP pyrophosphohydrolase	HisI2	Histidine biosynthesis
COG0141	E	Histidinol dehydrogenase	HisD	Histidine biosynthesis
COG0142	H	Geranylgeranyl pyrophosphate synthase	IspA	Isoprenoid biosynthesis
COG0143	J	Methionyl-tRNA synthetase	MetG	Aminoacyl-tRNA synthetases
COG0144	J	"16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family"	RsmB	16S rRNA modification
COG0145	EQ	"N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit"	HyuA	
COG0146	EQ	"N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit"	HyuB	
COG0147	EH	Anthranilate/para-aminobenzoate synthases component I	TrpE	Aromatic amino acid biosynthesis
COG0148	G	Enolase	Eno	Glycolysis
COG0149	G	Triosephosphate isomerase	TpiA	Glycolysis
COG0150	F	Phosphoribosylaminoimidazole (AIR) synthetase	PurM	Purine biosynthesis
COG0151	F	Phosphoribosylamine-glycine ligase	PurD	Purine biosynthesis
COG0152	F	Phosphoribosylaminoimidazole-succinocarboxamide synthase	PurC	Purine biosynthesis
COG0153	G	Galactokinase	GalK	
COG0154	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	GatA	Aminoacyl-tRNA synthetases
COG0155	P	"Sulfite reductase, beta subunit (hemoprotein)"	CysI	Cysteine biosynthesis
COG0156	H	7-keto-8-aminopelargonate synthetase or related enzyme	BioF	Biotin biosynthesis
COG0157	H	Nicotinate-nucleotide pyrophosphorylase	NadC	NAD biosynthesis
COG0158	G	"Fructose-1,6-bisphosphatase"	Fbp	Gluconeogenesis
COG0159	E	Tryptophan synthase alpha chain	TrpA	Aromatic amino acid biosynthesis
COG0160	E	Acetylornithine aminotransferase/4-aminobutyrate aminotransferase	ArgD	Arginine biosynthesis
COG0161	H	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	BioA	Biotin biosynthesis
COG0162	J	Tyrosyl-tRNA synthetase	TyrS	Aminoacyl-tRNA synthetases
COG0163	H	Flavin prenyltransferase UbiX	UbiX	Ubiquinone biosynthesis
COG0164	L	Ribonuclease HII	RnhB	
COG0165	E	Argininosuccinate lyase	ArgH	Arginine biosynthesis
COG0166	G	Glucose-6-phosphate isomerase	Pgi	Glycolysis
COG0167	F	Dihydroorotate dehydrogenase	PyrD	Pyrimidine biosynthesis
COG0168	P	"Trk-type K+ transport system, membrane component"	TrkG	
COG0169	E	Shikimate 5-dehydrogenase	AroE	Aromatic amino acid biosynthesis
COG0170	OM	Dolichol kinase	SEC59	
COG0171	H	NH3-dependent NAD+ synthetase	NadE	NAD biosynthesis
COG0172	J	Seryl-tRNA synthetase	SerS	Aminoacyl-tRNA synthetases
COG0173	J	Aspartyl-tRNA synthetase	AspS	Aminoacyl-tRNA synthetases
COG0174	E	Glutamine synthetase	GlnA	Glutamine biosynthesis
COG0175	EH	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	CysD	Cysteine biosynthesis
COG0176	G	Transaldolase/fructose-6-phosphate aldolase	TalA	Pentose phosphate pathway
COG0177	L	Endonuclease III	Nth	
COG0178	L	Excinuclease UvrABC ATPase subunit	UvrA	
COG0179	Q	"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)"	YcgM	
COG0180	J	Tryptophanyl-tRNA synthetase	TrpS	Aminoacyl-tRNA synthetases
COG0181	H	Porphobilinogen deaminase	HemC	Heme biosynthesis
COG0182	E	"5-methylthioribose/5-deoxyribulose 1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit"	MtnA	
COG0183	I	Acetyl-CoA acetyltransferase	PaaJ	Fatty acid biosynthesis
COG0184	J	Ribosomal protein S15P/S13E	RpsO	Ribosome 30S subunit
COG0185	J	Ribosomal protein S19	RpsS	Ribosome 30S subunit
COG0186	J	Ribosomal protein S17	RpsQ	Ribosome 30S subunit
COG0187	L	"DNA gyrase/topoisomerase IV, subunit B"	GyrB	
COG0188	L	"DNA gyrase/topoisomerase IV, subunit A"	GyrA	
COG0189	EHJQ	"Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily"	LysX	Lysine biosynthesis
COG0190	H	"5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase"	FolD	
COG0191	G	Fructose/tagatose bisphosphate aldolase	Fba	Glycolysis
COG0192	H	S-adenosylmethionine synthetase	MetK	Methionine biosynthesis
COG0193	J	Peptidyl-tRNA hydrolase	Pth	Translation factors
COG0194	F	Guanylate kinase	Gmk	
COG0195	K	"Transcription antitermination factor NusA, contains S1 and KH domains"	NusA	
COG0196	H	FAD synthase	RibF	Riboflavin/FAD biosynthesis
COG0197	J	Ribosomal protein L16/L10AE	RplP	Ribosome 50S subunit
COG0198	J	Ribosomal protein L24	RplX	Ribosome 50S subunit
COG0199	J	Ribosomal protein S14	RpsN	Ribosome 30S subunit
COG0200	J	Ribosomal protein L15	RplO	Ribosome 50S subunit
COG0201	U	Preprotein translocase subunit SecY	SecY	
COG0202	K	"DNA-directed RNA polymerase, alpha subunit/40 kD subunit"	RpoA	RNA polymerase
COG0203	J	Ribosomal protein L17	RplQ	Ribosome 50S subunit
COG0204	I	1-acyl-sn-glycerol-3-phosphate acyltransferase	PlsC	Phospholipid biosynthesis
COG0205	G	6-phosphofructokinase	PfkA	Glycolysis
COG0206	D	Cell division GTPase FtsZ	FtsZ	
COG0207	F	Thymidylate synthase	ThyA	Thymidylate biosynthesis
COG0208	F	"Ribonucleotide reductase beta subunit, ferritin-like domain"	NrdB	Pyrimidine salvage
COG0209	F	Ribonucleotide reductase alpha subunit	NrdA	Pyrimidine salvage
COG0210	L	Superfamily I DNA or RNA helicase	UvrD	
COG0211	J	Ribosomal protein L27	RpmA	Ribosome 50S subunit
COG0212	H	5-formyltetrahydrofolate cyclo-ligase	FAU1	
COG0213	F	Thymidine phosphorylase	DeoA	Pyrimidine salvage
COG0214	H	Pyridoxal 5'-phosphate synthase subunit PdxS	PdxS	Pyridoxal phosphate biosynthesis
COG0215	J	Cysteinyl-tRNA synthetase	CysS	Aminoacyl-tRNA synthetases
COG0216	J	Protein chain release factor RF1	PrfA	Translation factors
COG0217	KJ	Transcriptional and/or translational regulatory protein YebC/TACO1	TACO1	
COG0218	D	GTP-binding protein EngB required for normal cell division	EngB	
COG0219	J	"tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain"	TrmL	tRNA modification
COG0220	J	tRNA G46 N7-methylase TrmB	TrmB	tRNA modification
COG0221	C	Inorganic pyrophosphatase	Ppa	
COG0222	J	Ribosomal protein L7/L12	RplL	Ribosome 50S subunit
COG0223	J	Methionyl-tRNA formyltransferase	Fmt	
COG0224	C	"FoF1-type ATP synthase, gamma subunit"	AtpG	FoF1-type ATP synthase
COG0225	O	Peptide methionine sulfoxide reductase MsrA	MsrA	
COG0226	P	"ABC-type phosphate transport system, periplasmic component"	PstS	
COG0227	J	Ribosomal protein L28	RpmB	Ribosome 50S subunit
COG0228	J	Ribosomal protein S16	RpsP	Ribosome 30S subunit
COG0229	O	Peptide methionine sulfoxide reductase MsrB	MsrB	
COG0230	J	Ribosomal protein L34	RpmH	Ribosome 50S subunit
COG0231	J	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	Efp	Translation factors
COG0232	F	dGTP triphosphohydrolase	Dgt	
COG0233	J	Ribosome recycling factor	Frr	
COG0234	O	Co-chaperonin GroES (HSP10)	GroES	
COG0235	EG	"5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation)"	AraD	Urea cycle
COG0236	I	Acyl carrier protein	AcpP	Fatty acid biosynthesis
COG0237	H	Dephospho-CoA kinase	CoaE	Pantothenate/CoA biosynthesis
COG0238	J	Ribosomal protein S18	RpsR	Ribosome 30S subunit
COG0239	DP	"Fluoride ion exporter CrcB/FEX, affects chromosome condensation"	CrcB	
COG0240	C	Glycerol-3-phosphate dehydrogenase	GpsA	Isoprenoid biosynthesis
COG0241	E	"Histidinol phosphatase/D-glycero-mannoheptose bisphosphatephosphatase, HAD superfamily"	HisB1/GmhB	Histidine biosynthesis
COG0242	J	Peptide deformylase	Def	
COG0243	C	Anaerobic selenocysteine-containing dehydrogenase	BisC	
COG0244	J	Ribosomal protein L10	RplJ	Ribosome 50S subunit
COG0245	I	"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"	IspF	Isoprenoid biosynthesis
COG0246	G	Mannitol-1-phosphate/altronate dehydrogenases	MtlD	
COG0247	C	"Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF"	GlpC	
COG0248	FT	Exopolyphosphatase/pppGpp-phosphohydrolase	GppA	
COG0249	L	DNA mismatch repair ATPase MutS	MutS	
COG0250	K	Transcription termination/antitermination protein NusG	NusG	
COG0251	V	"Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family"	RidA	Pyrimidine degradation
COG0252	JE	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D	AnsA	
COG0253	E	Diaminopimelate epimerase	DapF	Lysine biosynthesis
COG0254	J	Ribosomal protein L31	RpmE	Ribosome 50S subunit
COG0255	J	Ribosomal protein L29	RpmC	Ribosome 50S subunit
COG0256	J	Ribosomal protein L18	RplR	Ribosome 50S subunit
COG0257	J	Ribosomal protein L36	RpmJ	Ribosome 50S subunit
COG0258	L	5'-3' exonuclease Xni/ExoIX (flap endonuclease)	ExoIX	
COG0259	H	Pyridoxine/pyridoxamine 5'-phosphate oxidase	PdxH	Pyridoxal phosphate biosynthesis
COG0260	E	Leucyl aminopeptidase	PepB	
COG0261	J	Ribosomal protein L21	RplU	Ribosome 50S subunit
COG0262	H	Dihydrofolate reductase	FolA	Folate biosynthesis
COG0263	E	Glutamate 5-kinase	ProB	Proline biosynthesis
COG0264	J	Translation elongation factor EF-Ts	Tsf	Translation factors
COG0265	O	"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain"	DegQ	
COG0266	L	Formamidopyrimidine-DNA glycosylase	Nei	
COG0267	J	Ribosomal protein L33	RpmG	Ribosome 50S subunit
COG0268	J	Ribosomal protein S20	RpsT	Ribosome 30S subunit
COG0269	G	3-keto-L-gulonate-6-phosphate decarboxylase	UlaD	
COG0270	L	DNA-cytosine methylase	Dcm	
COG0271	KT	"DNA-binding global transcriptional regulator BolA, affects cell shape, cell division and biofilm formation"	BolA	
COG0272	L	NAD-dependent DNA ligase	Lig	
COG0274	F	Deoxyribose-phosphate aldolase	DeoC	
COG0275	J	16S rRNA C1402 N4-methylase RsmH	RmsH	16S rRNA modification
COG0276	H	Protoheme ferro-lyase (ferrochelatase)	HemH	Heme biosynthesis
COG0277	C	FAD/FMN-containing lactate dehydrogenase/glycolate oxidase	GlcD	
COG0278	O	Glutaredoxin-related protein	GrxD	
COG0279	G	Phosphoheptose isomerase	GmhA	
COG0280	C	"Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase)"	Pta	
COG0281	C	Malic enzyme	SfcA	Urea cycle
COG0282	C	Acetate kinase	AckA	
COG0283	F	Cytidylate kinase	Cmk	
COG0284	F	Orotidine-5'-phosphate decarboxylase	PyrF	Pyrimidine biosynthesis
COG0285	H	Folylpolyglutamate synthase/Dihydropteroate synthase	FolC	Folate biosynthesis
COG0286	V	"Type I restriction-modification system, DNA methylase subunit"	HsdM	
COG0287	E	Prephenate dehydrogenase	TyrA	Aromatic amino acid biosynthesis
COG0288	P	Carbonic anhydrase	CynT	
COG0289	E	4-hydroxy-tetrahydrodipicolinate reductase	DapB	Lysine biosynthesis
COG0290	J	Translation initiation factor IF-3	InfC	Translation factors
COG0291	J	Ribosomal protein L35	RpmI	Ribosome 50S subunit
COG0292	J	Ribosomal protein L20	RplT	Ribosome 50S subunit
COG0293	J	23S rRNA U2552 (ribose-2'-O)-methylase RlmE/FtsJ	RlmE	23S rRNA modification
COG0294	H	Dihydropteroate synthase	FolP	Folate biosynthesis
COG0295	F	Cytidine deaminase	Cdd	Pyrimidine salvage
COG0296	G	"1,4-alpha-glucan branching enzyme"	GlgB	
COG0297	G	Glycogen synthase	GlgA	
COG0298	O	"Hydrogenase maturation factor HybG, HypC/HupF family"	HypC	
COG0299	F	Folate-dependent phosphoribosylglycinamide formyltransferase PurN	PurN	Purine biosynthesis
COG0300	R	Short-chain dehydrogenase	YqjQ	
COG0301	HJ	Adenylyl- and sulfurtransferase ThiI (thiamine and tRNA 4-thiouridine biosynthesis)	ThiI	Thiamine biosynthesis
COG0302	H	GTP cyclohydrolase I	FolE	Folate biosynthesis
COG0303	H	Molybdopterin Mo-transferase (molybdopterin biosynthesis)	MoeA	Molybdopterin biosynthesis
COG0304	IQ	3-oxoacyl-(acyl-carrier-protein) synthase	FabB	Fatty acid biosynthesis
COG0305	L	Replicative DNA helicase	DnaB	
COG0306	P	Phosphate/sulfate permease	PitA	
COG0307	H	Riboflavin synthase alpha chain	RibC	Riboflavin/FAD biosynthesis
COG0308	E	"Aminopeptidase N, contains DUF3458 domain"	PepN	
COG0309	O	Carbamoyl dehydratase HypE (hydrogenase maturation factor)	HypE	
COG0310	P	"ABC-type Co2+ transport system, permease component"	CbiM	
COG0311	H	Pyridoxal 5'-phosphate synthase subunit PdxT (glutamine amidotransferase)	PdxT	Pyridoxal phosphate biosynthesis
COG0312	R	Zn-dependent protease PmbA/TldA or its inactivated homolog	TldD	
COG0313	J	16S rRNA C1402 (ribose-2'-O) methylase RsmI	RsmI	16S rRNA modification
COG0314	H	Molybdopterin synthase catalytic subunit MoaE	MoaE	Molybdopterin biosynthesis
COG0315	H	Molybdenum cofactor biosynthesis enzyme MoaC	MoaC	Molybdopterin biosynthesis
COG0316	O	Fe-S cluster assembly iron-binding protein IscA	IscA	
COG0317	TK	"(p)ppGpp synthase/hydrolase, HD superfamily"	SpoT	
COG0318	I	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	MenE/FadK	Menaquinone biosynthesis
COG0319	J	"ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme"	YbeY	16S rRNA modification
COG0320	H	Lipoate synthase	LipA	Lipoate biosynthesis
COG0321	H	Lipoate-protein ligase B	LipB	Lipoate biosynthesis
COG0322	L	"Excinuclease UvrABC, nuclease subunit"	UvrC	
COG0323	L	DNA mismatch repair ATPase MutL	MutL	
COG0324	J	tRNA A37 N6-isopentenylltransferase MiaA	MiaA	tRNA modification
COG0325	H	"Pyridoxal 5'-phosphate homeostasis protein YggS, UPF0001 family"	YggS	
COG0326	O	"Molecular chaperone, HSP90 family"	HtpG	
COG0327	H	"Putative GTP cyclohydrolase 1 type 2, NIF3 family"	NIF3	Folate biosynthesis
COG0328	L	Ribonuclease HI	RnhA	
COG0329	EM	4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase	DapA	Lysine biosynthesis
COG0330	O	"Regulator of protease activity HflC, stomatin/prohibitin superfamily"	HflC	
COG0331	I	Malonyl CoA-acyl carrier protein transacylase	FabD	Fatty acid biosynthesis
COG0332	I	3-oxoacyl-[acyl-carrier-protein] synthase III	FabH	Fatty acid biosynthesis
COG0333	J	Ribosomal protein L32	RpmF	Ribosome 50S subunit
COG0334	E	Glutamate dehydrogenase/leucine dehydrogenase	GdhA	Glutamine biosynthesis
COG0335	J	Ribosomal protein L19	RplS	Ribosome 50S subunit
COG0336	J	tRNA G37 N-methylase TrmD	TrmD	tRNA modification
COG0337	E	3-dehydroquinate synthetase	AroB	Aromatic amino acid biosynthesis
COG0338	L	DNA-adenine methylase	Dam	
COG0339	O	"Zn-dependent oligopeptidase, M3 family"	Dcp	
