Domain	Phylum	Class	Order	Family	Genus	Species	tax_id	tax_level	21hA_minus_num	21hA_minus_frac	21hA_plus_num	21hA_plus_frac	21hB_minus_num	21hB_minus_frac	21hB_plus_num	21hB_plus_frac	21hC_minus_num	21hC_minus_frac	21hC_plus_num	21hC_plus_frac	4hA_minus_num	4hA_minus_frac	4hA_plus_num	4hA_plus_frac	4hB_minus_num	4hB_minus_frac	4hB_plus_num	4hB_plus_frac	4hC_minus_num	4hC_minus_frac	4hC_plus_num	4hC_plus_frac	SYTO_10_num	SYTO_10_frac	SYTO_11_num	SYTO_11_frac	SYTO_12_num	SYTO_12_frac	SYTO_13_num	SYTO_13_frac	SYTO_14_num	SYTO_14_frac	SYTO_15_num	SYTO_15_frac	SYTO_16_num	SYTO_16_frac	SYTO_17_num	SYTO_17_frac	SYTO_18_num	SYTO_18_frac	SYTO_1_num	SYTO_1_frac	SYTO_2_num	SYTO_2_frac	SYTO_3_num	SYTO_3_frac	SYTO_4_num	SYTO_4_frac	SYTO_5_num	SYTO_5_frac	SYTO_6_num	SYTO_6_frac	SYTO_7_num	SYTO_7_frac	SYTO_8_num	SYTO_8_frac	SYTO_9_num	SYTO_9_frac	Total_A_num	Total_A_frac	Total_B_num	Total_B_frac	Total_C_num	Total_C_frac
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. SUN039	2937787	S	12587	0.00089	3560	0.00042	377	0.00004	6778	0.00097	14423	0.0019	10776	0.00092	10541	0.00106	15226	0.00141	8735	0.00031	11203	0.00145	5137	0.00032	10112	0.00068	9404	0.00034	6270	0.00037	12229	0.00042	4249	0.00032	4983	0.00038	3277	0.00027	5969	0.00034	4676	0.00033	101	0.0001	12204	0.0004	2459	0.00027	9559	0.00037	1795	0.00013	1683	0.00012	2112	0.00011	5143	0.00035	3008	0.00039	15040	0.00039	11769	0.00021	13511	0.00019	9104	0.00017
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. AAP5	1523415	S	16648	0.00118	5655	0.00067	542	0.00005	10569	0.00151	20004	0.00264	14178	0.00122	15494	0.00156	21381	0.00198	10776	0.00038	13640	0.00176	6852	0.00043	16639	0.00112	12661	0.00046	8886	0.00052	16907	0.00057	5194	0.00039	6539	0.0005	4340	0.00036	8097	0.00046	6607	0.00046	140	0.00014	17339	0.00057	3292	0.00036	12860	0.0005	2603	0.00019	2609	0.00019	3079	0.00016	6505	0.00045	3877	0.0005	20945	0.00055	17827	0.00032	21911	0.0003	14725	0.00028
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. SUN019	2937788	S	12387	0.00088	4785	0.00057	427	0.00004	7178	0.00103	14230	0.00188	11030	0.00095	10906	0.0011	14751	0.00136	8369	0.00029	10084	0.0013	5249	0.00033	11838	0.00079	9340	0.00034	6118	0.00036	11363	0.00039	3946	0.0003	4276	0.00032	2904	0.00024	5610	0.00032	4704	0.00033	115	0.00012	12567	0.00042	2930	0.00032	9798	0.00038	1558	0.00012	1651	0.00012	2062	0.0001	4892	0.00034	3101	0.0004	15678	0.00041	11902	0.00021	13414	0.00019	9870	0.00019
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. HMP6	1517551	S	11767	0.00083	4173	0.0005	298	0.00003	7518	0.00108	13406	0.00177	10226	0.00088	9718	0.00098	14358	0.00133	7671	0.00027	10866	0.0014	4484	0.00028	11803	0.00079	8911	0.00032	5793	0.00034	10892	0.00037	3904	0.00029	4412	0.00033	3084	0.00026	5183	0.0003	4543	0.00032	100	0.0001	11616	0.00038	2502	0.00027	8811	0.00034	1519	0.00011	1578	0.00011	1941	0.0001	4627	0.00032	2877	0.00037	15030	0.00039	10400	0.00018	12556	0.00017	8598	0.00016
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. PAMC26645	2565555	S	11713	0.00083	4305	0.00051	380	0.00004	7454	0.00107	14040	0.00185	9947	0.00085	10169	0.00103	16613	0.00154	8748	0.00031	9916	0.00128	5709	0.00036	10326	0.00069	9327	0.00034	5832	0.00034	11133	0.00038	3712	0.00028	4818	0.00037	3147	0.00026	5473	0.00031	4731	0.00033	104	0.00011	11903	0.00039	2186	0.00024	9142	0.00035	1510	0.00011	1778	0.00013	2364	0.00012	4600	0.00032	2593	0.00034	13219	0.00035	11787	0.00021	15229	0.00021	9662	0.00018
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. HMP9	1517554	S	12314	0.00087	4307	0.00051	348	0.00003	7389	0.00106	14208	0.00187	10772	0.00092	10236	0.00103	14149	0.00131	9003	0.00031	11126	0.00144	5211	0.00033	11566	0.00078	9421	0.00034	6568	0.00038	12092	0.00041	4232	0.00032	5015	0.00038	3552	0.0003	5385	0.00031	4483	0.00031	119	0.00012	12764	0.00042	2435	0.00026	9909	0.00038	1871	0.00014	1789	0.00013	2532	0.00013	4727	0.00033	3037	0.00039	14562	0.00038	12493	0.00022	16784	0.00023	10263	0.00019
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. LK11	1390395	S	12780	0.00091	4760	0.00057	443	0.00004	8602	0.00123	15817	0.00209	10703	0.00092	11965	0.00121	15949	0.00147	8757	0.00031	11403	0.00147	5545	0.00035	13232	0.00089	9621	0.00035	6530	0.00038	11871	0.0004	4058	0.0003	4740	0.00036	3153	0.00026	5954	0.00034	4911	0.00034	91	0.00009	13320	0.00044	2614	0.00028	9828	0.00038	2107	0.00016	1831	0.00013	2469	0.00012	5141	0.00035	3273	0.00042	16792	0.00044	11963	0.00021	14858	0.00021	10121	0.00019
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. NIC1	1961362	S	28737	0.00204	10051	0.0012	830	0.00008	17586	0.00252	34369	0.00453	27119	0.00233	28519	0.00288	37243	0.00344	21789	0.00076	26220	0.00339	12951	0.00081	23509	0.00158	22584	0.00082	16367	0.00096	27443	0.00093	10644	0.0008	12288	0.00093	7772	0.00065	14534	0.00083	11270	0.00079	215	0.00022	29071	0.00096	6397	0.00069	23448	0.00091	3356	0.00025	3712	0.00027	5189	0.00026	12854	0.00089	7115	0.00092	35836	0.00094	27660	0.00049	29157	0.00041	20890	0.00039
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. IC081	304378	S	5314	0.00038	2390	0.00028	524	0.00005	2458	0.00035	6441	0.00085	6139	0.00053	6440	0.00065	6735	0.00062	5389	0.00019	6013	0.00078	2841	0.00018	3971	0.00027	4662	0.00017	3418	0.0002	6410	0.00022	2263	0.00017	2950	0.00022	1880	0.00016	2655	0.00015	2541	0.00018	124	0.00013	7438	0.00025	1250	0.00014	5350	0.00021	1834	0.00014	2093	0.00015	2216	0.00011	2993	0.00021	1716	0.00022	8272	0.00022	8955	0.00016	10655	0.00015	7365	0.00014
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. JE1	1628059	S	60	0	31	0	8	0	116	0.00002	78	0.00001	85	0.00001	48	0	49	0	82	0	61	0.00001	39	0	103	0.00001	90	0	98	0.00001	103	0	48	0	50	0	44	0	74	0	65	0	2	0	73	0	58	0.00001	76	0	37	0	25	0	48	0	83	0.00001	35	0	143	0	137	0	175	0	156	0
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. ERG5	1381597	S	98	0.00001	223	0.00003	21	0	0	0	5	0	66	0.00001	5	0	269	0.00002	44	0	45	0.00001	0	0	187	0.00001	72	0	67	0	64	0	8	0	0	0	36	0	31	0	43	0	0	0	249	0.00001	69	0.00001	204	0.00001	27	0	20	0	118	0.00001	0	0	5	0	124	0	188	0	206	0	174	0
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp.	28214	S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	6	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	1	0	4	0	28	0	19	0
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sinipercae	2714944	S	36350	0.00258	12650	0.00151	612	0.00006	22307	0.00319	28052	0.0037	24642	0.00211	23912	0.00241	32389	0.00299	18065	0.00063	23764	0.00307	11180	0.0007	29367	0.00197	21583	0.00078	13950	0.00081	25685	0.00087	9714	0.00073	12197	0.00093	9646	0.00081	13256	0.00076	11148	0.00078	263	0.00027	34667	0.00115	6345	0.00069	22637	0.00087	4038	0.0003	3860	0.00028	5106	0.00026	10528	0.00073	6210	0.0008	32924	0.00086	51125	0.00091	45899	0.00064	30036	0.00057
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas lutea	1045317	S	36350	0.00258	12893	0.00154	908	0.00009	18248	0.00261	30345	0.004	25343	0.00217	28386	0.00286	36132	0.00334	19505	0.00068	23759	0.00307	11315	0.00071	29063	0.00195	22231	0.00081	14711	0.00086	26375	0.0009	9284	0.0007	12059	0.00091	8887	0.00074	12850	0.00073	10860	0.00076	302	0.00031	36681	0.00121	7035	0.00076	25491	0.00098	4145	0.00031	4152	0.0003	5106	0.00026	10674	0.00074	6190	0.0008	35506	0.00093	70298	0.00124	55816	0.00078	36750	0.00069
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas ginsengisoli An et al. 2013	363835	S	38943	0.00276	17342	0.00207	1440	0.00014	23751	0.0034	35379	0.00467	31828	0.00273	35748	0.00361	43057	0.00398	24420	0.00085	29009	0.00375	15925	0.001	33217	0.00223	27029	0.00098	18059	0.00105	32909	0.00112	11422	0.00086	14407	0.00109	9561	0.0008	15583	0.00089	12912	0.0009	351	0.00036	41039	0.00136	7833	0.00085	28820	0.00111	4586	0.00034	4538	0.00033	6235	0.00031	12615	0.00087	8166	0.00106	42911	0.00112	50817	0.0009	52659	0.00073	34298	0.00065
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas piscis	2714943	S	35336	0.0025	12453	0.00148	685	0.00007	18235	0.00261	26766	0.00353	24607	0.00211	25460	0.00257	33453	0.00309	17913	0.00063	21496	0.00278	10613	0.00067	25459	0.00171	20542	0.00075	13674	0.0008	24067	0.00082	7995	0.0006	10218	0.00078	7757	0.00065	11493	0.00066	9199	0.00064	285	0.00029	33050	0.00109	6594	0.00071	22510	0.00087	4069	0.0003	3885	0.00028	4854	0.00024	11180	0.00077	7038	0.00091	38123	0.001	38317	0.00068	36218	0.0005	26856	0.00051
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas profundi	2681549	S	34577	0.00245	10814	0.00129	1223	0.00012	22149	0.00317	40952	0.0054	27169	0.00233	29214	0.00295	41903	0.00387	26369	0.00092	28492	0.00368	14965	0.00094	32913	0.00221	25008	0.00091	17236	0.00101	31289	0.00106	11687	0.00088	13950	0.00106	8957	0.00075	16641	0.00095	13076	0.00091	288	0.00029	34213	0.00113	7123	0.00077	25667	0.00099	4618	0.00034	4698	0.00034	5910	0.0003	14015	0.00097	8106	0.00105	41274	0.00108	29812	0.00053	37942	0.00053	25476	0.00048
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sabuli	2764186	S	29542	0.00209	10532	0.00126	595	0.00006	13846	0.00198	24503	0.00323	20900	0.00179	21130	0.00213	30661	0.00283	16333	0.00057	20385	0.00264	9978	0.00063	23655	0.00159	18547	0.00067	11580	0.00068	21697	0.00074	8398	0.00063	10860	0.00082	7363	0.00062	10824	0.00062	9151	0.00064	241	0.00025	28685	0.00095	5481	0.00059	19269	0.00074	3145	0.00023	3006	0.00022	4033	0.0002	8421	0.00058	5402	0.0007	28070	0.00073	43603	0.00077	38883	0.00054	24836	0.00047
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas changnyeongensis	2698679	S	25898	0.00184	8852	0.00106	938	0.00009	12409	0.00177	36699	0.00484	20402	0.00175	23040	0.00233	47189	0.00436	14762	0.00052	17040	0.0022	9322	0.00059	22109	0.00148	20967	0.00076	14265	0.00083	26489	0.0009	7119	0.00053	7939	0.0006	5028	0.00042	10090	0.00058	8124	0.00057	183	0.00019	24437	0.00081	5243	0.00057	20266	0.00078	3313	0.00025	3031	0.00022	4035	0.0002	10967	0.00076	6976	0.0009	35574	0.00093	18417	0.00033	21564	0.0003	15148	0.00029
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sediminicola	386874	S	24073	0.00171	9749	0.00116	640	0.00006	14670	0.0021	19772	0.00261	18637	0.0016	17860	0.0018	26173	0.00242	15475	0.00054	17201	0.00222	8961	0.00056	20064	0.00134	16304	0.00059	11001	0.00064	19632	0.00067	7177	0.00054	9130	0.00069	6299	0.00053	10399	0.00059	8628	0.0006	189	0.00019	25271	0.00084	4765	0.00052	17963	0.00069	2739	0.0002	2733	0.0002	3729	0.00019	7840	0.00054	4994	0.00065	25184	0.00066	34101	0.0006	32011	0.00044	19862	0.00038
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas alpina	653931	S	23595	0.00167	8718	0.00104	665	0.00007	13224	0.00189	26376	0.00348	20265	0.00174	19642	0.00198	30803	0.00285	16103	0.00056	18961	0.00245	9614	0.0006	22161	0.00149	16547	0.0006	11076	0.00065	20308	0.00069	7472	0.00056	8513	0.00065	5814	0.00049	10230	0.00058	8316	0.00058	179	0.00018	23744	0.00079	4722	0.00051	17513	0.00068	3124	0.00023	3371	0.00025	4247	0.00021	8991	0.00062	5078	0.00066	29748	0.00078	20716	0.00037	24474	0.00034	16387	0.00031
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sanxanigenens	397260	S	49104	0.00348	15061	0.0018	1542	0.00015	30308	0.00433	55513	0.00732	41634	0.00357	43561	0.0044	61913	0.00572	35007	0.00122	38676	0.005	18213	0.00115	41626	0.00279	34904	0.00127	23484	0.00137	45031	0.00153	16169	0.00121	17936	0.00136	13599	0.00114	22792	0.0013	18132	0.00127	369	0.00038	47359	0.00157	8901	0.00096	35188	0.00136	6844	0.00051	7538	0.00055	9366	0.00047	17321	0.00119	10647	0.00138	56872	0.00148	49230	0.00087	57540	0.0008	37704	0.00071
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas daechungensis	1176646	S	22580	0.0016	8537	0.00102	639	0.00006	12783	0.00183	19374	0.00256	17895	0.00153	17330	0.00175	25269	0.00234	13706	0.00048	17638	0.00228	8389	0.00053	18493	0.00124	15592	0.00057	10388	0.00061	19113	0.00065	6683	0.0005	8468	0.00064	6200	0.00052	9834	0.00056	7966	0.00056	181	0.00019	23356	0.00077	4608	0.0005	17071	0.00066	2828	0.00021	2833	0.00021	3752	0.00019	7572	0.00052	4348	0.00056	23828	0.00062	32365	0.00057	30416	0.00042	19014	0.00036
